Original_name	Simplified_name
Milium effusum 	Milium effusum 
Moehringia trinervia	Moehringia trinervia
Myosotis martini	Myosotis martini
Narcissus pseudonarcissus	Narcissus pseudonarcissus
Origanum vulgare	Origanum vulgare
Ornithogalum pyrenaicum 	Ornithogalum pyrenaicum 
Orobanche hederae	Orobanche hederae
Oxalis acetosella 	Oxalis acetosella 
Panicum miliaceum 	Panicum miliaceum 
Papaver cambricum 	Papaver cambricum 
Phalaris arundinacea 	Phalaris arundinacea 
Phillyrea latifolia	Phillyrea latifolia
Phleum pratense	Phleum pratense
Phragmites australis	Phragmites australis
Phyllitis scolopendrium 	Phyllitis scolopendrium 
Picea abies 	Picea abies 
Picris hieracioides	Picris hieracioides
Pimpinella major 	Pimpinella major 
Pinus sylvestris	Pinus sylvestris
Plantago lanceolata	Plantago lanceolata
Plantago major	Plantago major
Poa angustifolia 	Poa angustifolia 
Poa annua	Poa annua
Poa compresa 	Poa compresa 
Poa nemoralis	Poa nemoralis
Poa pratensis 	Poa pratensis 
Poa trivialis	Poa trivialis
Polygonatum multiflorum 	Polygonatum multiflorum 
Polygonum arenastrum 	Polygonum arenastrum 
Polygonum aviculare	Polygonum aviculare
Polygonum lapathifolium 	Polygonum lapathifolium 
Polygonum persicaria	Polygonum persicaria
Polypodium interjectum 	Polypodium interjectum 
Polystichum setiferum	Polystichum setiferum
Populus alba 	Populus alba 
Populus x canadensis 	Populus x canadensis 
Populus nigra 	Populus nigra 
Potentilla montana	Potentilla montana
Potentilla reptans	Potentilla reptans
Potentilla sterilis	Potentilla sterilis
Primula elatior	Primula elatior
Primula veris	Primula veris
Prunella vulgaris	Prunella vulgaris
Prunus armeniaca 	Prunus armeniaca 
Prunus avium 	Prunus avium 
Prunus domestica 	Prunus domestica 
Prunus insititia	Prunus insititia
Prunus spinosa	Prunus spinosa
Pteridium aquilium	Pteridium aquilium
Pulicaria dysenterica 	Pulicaria dysenterica 
Pulmonaria affinis 	Pulmonaria affinis 
Pulmonaria longifolia	Pulmonaria longifolia
Quercus faginea	Quercus faginea
Quercus petraea 	Quercus petraea 
Quercus petraea x pubescens	Quercus petraea
Quercus pubescens	Quercus pubescens
